geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
Aspen	45.5520556	45.5520556	-84.7125	-84.7125
Balsam	45.54541667	45.54541667	-84.66583333	-84.66583333
Pine-Aspen	45.5551389	45.5551389	-84.7475	-84.7475
NHW	45.5673056	45.5673056	-84.681667	-84.681667
ESGRdry	42.45818	42.45818	-84.01123	-84.01123
ESGRwet	42.45641	42.45641	-84.02054	-84.02054
Radrick	42.28738	42.28738	-83.65851	-83.65851
Stinchfield	42.399347	42.399347	-83.925797	-83.925797
